shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
Negative roll rate,NOTE1,input,signalName,bodyPositionOfCgWrtWingLeadingEdge_X,fracMAC,0.25,,
Negative roll rate,NOTE1,internal,varID,vt,,300.0,,
Negative roll rate,NOTE1,internal,varID,alpha,,5.0,,
Negative roll rate,NOTE1,internal,varID,beta,,0.0,,
Negative roll rate,NOTE1,internal,varID,p,,-3.42,,
Negative roll rate,NOTE1,internal,varID,q,,0.0,,
Negative roll rate,NOTE1,internal,varID,r,,0.0,,
Negative roll rate,NOTE1,internal,varID,el,,0.0,,
Negative roll rate,NOTE1,internal,varID,ail,,0.0,,
Negative roll rate,NOTE1,internal,varID,rdr,,0.0,,
Negative roll rate,NOTE1,internal,varID,xcg,,0.25,,
Negative roll rate,NOTE1,internal,varID,rtd,,57.29577957855229,,
Negative roll rate,NOTE1,internal,varID,xcgr,,0.35,,
Negative roll rate,NOTE1,internal,varID,cbar,,11.32,,
Negative roll rate,NOTE1,internal,varID,bspan,,30.0,,
Negative roll rate,NOTE1,internal,varID,del,,0.0,,
Negative roll rate,NOTE1,internal,varID,dail,,0.0,,
Negative roll rate,NOTE1,internal,varID,drdr,,0.0,,
Negative roll rate,NOTE1,internal,varID,cxt,,-0.004,,
Negative roll rate,NOTE1,internal,varID,cy0,,0.0,,
Negative roll rate,NOTE1,internal,varID,czt,,-0.416,,
Negative roll rate,NOTE1,internal,varID,cz1,,-0.416,,
Negative roll rate,NOTE1,internal,varID,cl1,,0.0,,
Negative roll rate,NOTE1,internal,varID,cn1,,0.0,,
Negative roll rate,NOTE1,internal,varID,tvt,,600.0,,
Negative roll rate,NOTE1,internal,varID,b2v,,0.05,,
Negative roll rate,NOTE1,internal,varID,cq2v,,0.0,,
Negative roll rate,NOTE1,internal,varID,absbeta,,0.0,,
Negative roll rate,NOTE1,internal,varID,absCl0,,0.0,,
Negative roll rate,NOTE1,internal,varID,absCn0,,0.0,,
Negative roll rate,NOTE1,internal,varID,clt,,0.0,,
Negative roll rate,NOTE1,internal,varID,cmt,,-0.005,,
Negative roll rate,NOTE1,internal,varID,cnt,,0.0,,
Negative roll rate,NOTE1,internal,varID,cxq,,1.34,,
Negative roll rate,NOTE1,internal,varID,cyr,,0.958,,
Negative roll rate,NOTE1,internal,varID,cyp,,0.11,,
Negative roll rate,NOTE1,internal,varID,czq,,-31.4,,
Negative roll rate,NOTE1,internal,varID,clr,,0.113,,
Negative roll rate,NOTE1,internal,varID,clp,,-0.42,,
Negative roll rate,NOTE1,internal,varID,cmq,,-5.26,,
Negative roll rate,NOTE1,internal,varID,cnr,,-0.386,,
Negative roll rate,NOTE1,internal,varID,cnp,,-0.012,,
Negative roll rate,NOTE1,internal,varID,dclda,,-0.052,,
Negative roll rate,NOTE1,internal,varID,dcldr,,0.014,,
Negative roll rate,NOTE1,internal,varID,dcnda,,-0.009,,
Negative roll rate,NOTE1,internal,varID,dcndr,,-0.045,,
Negative roll rate,NOTE1,internal,varID,cx,,-0.004,,
Negative roll rate,NOTE1,internal,varID,cy,,-0.01881,,
Negative roll rate,NOTE1,internal,varID,cz,,-0.416,,
Negative roll rate,NOTE1,internal,varID,cl,,0.07182,,
Negative roll rate,NOTE1,internal,varID,cm,,-0.04659999999999999,,
Negative roll rate,NOTE1,internal,varID,cn,,0.002761764,,
Negative roll rate,NOTE1,output,signalName,aeroBodyForceCoefficient_X,nd,-0.004,1e-06,
Negative roll rate,NOTE1,output,signalName,aeroBodyForceCoefficient_Y,nd,-0.01881,1e-06,
Negative roll rate,NOTE1,output,signalName,aeroBodyForceCoefficient_Z,nd,-0.416,1e-06,
Negative roll rate,NOTE1,output,signalName,aeroBodyMomentCoefficient_Roll,nd,0.07182,1e-06,
Negative roll rate,NOTE1,output,signalName,aeroBodyMomentCoefficient_Pitch,nd,-0.0466,1e-06,
Negative roll rate,NOTE1,output,signalName,aeroBodyMomentCoefficient_Yaw,nd,0.002761764,1e-06,
Positive pitch rate,NOTE1,input,signalName,trueAirspeed,f_s,300.0,,
Positive pitch rate,NOTE1,input,signalName,angleOfAttack,deg,5.0,,
Positive pitch rate,NOTE1,input,signalName,angleOfSideslip,deg,0.0,,
Positive pitch rate,NOTE1,input,signalName,bodyAngularRate_Roll,rad_s,0.0,,
Positive pitch rate,NOTE1,input,signalName,bodyAngularRate_Pitch,rad_s,0.98,,
Positive pitch rate,NOTE1,input,signalName,bodyAngularRate_Yaw,rad_s,0.0,,
Positive pitch rate,NOTE1,input,signalName,elevatorDeflection,deg,0.0,,
Positive pitch rate,NOTE1,input,signalName,aileronDeflection,deg,0.0,,
Positive pitch rate,NOTE1,input,signalName,rudderDeflection,deg,0.0,,
Positive pitch rate,NOTE1,input,signalName,bodyPositionOfCgWrtWingLeadingEdge_X,fracMAC,0.25,,
Positive pitch rate,NOTE1,internal,varID,vt,,300.0,,
Positive pitch rate,NOTE1,internal,varID,alpha,,5.0,,
Positive pitch rate,NOTE1,internal,varID,beta,,0.0,,
Positive pitch rate,NOTE1,internal,varID,p,,0.0,,
Positive pitch rate,NOTE1,internal,varID,q,,0.98,,
Positive pitch rate,NOTE1,internal,varID,r,,0.0,,
Positive pitch rate,NOTE1,internal,varID,el,,0.0,,
Positive pitch rate,NOTE1,internal,varID,ail,,0.0,,
